[HSC-FALL1-EQ],22,2.666666667,-1,7,0.366666667,0.044444444,0.366666667,-1,0.366666667,7,0.044444444,7,0.044444444,-1,0.366666667,-1
[HSC-FALL2-EQ],1.833333333,2.666666667,-7,-1,0.030555556,0.044444444,0.030555556,-7,0.030555556,-1,0.044444444,-1,0.044444444,-7,0.030555556,-7
[HSC-SPRING-EQ],8.5,15,-2,5,0.141666667,0.25,1.416666667,-2,1.416666667,5,0.25,5,0.25,-2,1.416666667,-2
[HSC-NORTH],13.33333333,16.66666667,42.5,44,0.222222222,0.277777778,0.222222222,42.5,0.222222222,44,0.277777778,44,0.277777778,42.5,0.222222222,42.5
[WIGGLEZ-0H],350.1,359.1,-13.4,1.8,,,350.1,-13.4,350.1,1.8,359.1,1.8,359.1,-13.4,350.1,-13.4
[WIGGLEZ-1H],7.5,20.6,-3.7,5.3,,,7.5,-3.7,7.5,5.3,20.6,5.3,20.6,-3.7,7.5,-3.7
[WIGGLEZ-3H],43,52.2,-18.6,-5.7,,,43,-18.6,43,-5.7,52.2,-5.7,52.2,-18.6,43,-18.6
[WIGGLEZ-9H],133.7,148.8,-1,8,,,133.7,-1,133.7,8,148.8,8,148.8,-1,133.7,-1
[WIGGLEZ-11H],153,172,-1,8,,,153,-1,153,8,172,8,172,-1,153,-1
[WIGGLEZ-15H],210,230,-3,7,,,210,-3,210,7,230,7,230,-3,210,-3
[WIGGLEZ-22H],320.4,330.2,-5,4.8,,,320.4,-5,320.4,4.8,330.2,4.8,330.2,-5,320.4,-5
[WFIRST-HLS-2],-11,7,-55,-35,,,-11,-55,-11,-35,7,-35,7,-55,-11,-55
[WFIRST-HLS-4],-11,7,-35,-19,,,-11,-35,-11,-19,7,-19,7,-35,-11,-35
[KIDS-N-2],8.666666667,9.133333333,-3,-1,0.144444444,0.152222222,0.144444444,-3,0.144444444,-1,0.152222222,-1,0.152222222,-3,0.144444444,-3
[KIDS-S],22,3.5,-35,-25,0.366666667,0.058333333,0.366666667,-35,0.366666667,-25,0.058333333,-25,0.058333333,-35,0.366666667,-35
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,22,2.666666667,330,40.00000001,,,,,,,,,,,
,,1.833333333,2.666666667,27.5,40.00000001,,,,,,,,,,,
,,8.5,15,127.5,225,,,,,,,,,,,
,,13.33333333,16.66666667,200,250.0000001,,,,,,,,,,,
,,350.1,359.1,350.1,359.1,,,,,,,,,,,
,,7.5,20.6,7.5,20.6,,,,,,,,,,,
,,43,52.2,43,52.2,,,,,,,,,,,
,,133.7,148.8,133.7,148.8,,,,,,,,,,,
,,153,172,153,172,,,,,,,,,,,
,,210,230,210,230,,,,,,,,,,,
,,320.4,330.2,320.4,330.2,,,,,,,,,,,
,,-11,7,-11,7,,,,,,,,,,,
,,-11,7,-11,7,,,,,,,,,,,
,,8.666666667,9.133333333,130,137,,,,,,,,,,,
,,22,3.5,330,52.5,,,,,,,,,,,
