SPT
Name R.A.(◦) Decl.(◦) ∆R.A.(◦) ∆Decl.(◦) Effective_Area(deg2)
$5;30$-55 	82.7 -55.0 15 10 84
$23;30$-55 	352.5 -55.0 15 10 83
$21;$-60 	315.0 -60.0 30 10 155
$3;30$-60 	52.5 -60.0 45 10 227
$21;$-50 	315.0 -50.0 30 10 192
$4;10$-50 	62.5 -50.0 25 10 156
$0;50$-50 	12.5 -50.0 25 10 157
$2;30$-50 	37.5 -50.0 25 10 157
$1;$-60 	15.0 -60.0 30 10 152
$5;30$-45 	82.5 -45.0 15 10 109
$6;30$-55 	97.5 -55.0 15 10 85
$23;$-62.5 	345.0 -62.5 30 5 75
$21;$-42.5 	315.0 -42.5 30 5 121
$22;30$-55 	337.5 -55.0 15 10 84
$23;$-45 	345.0 -45.0 30 10 217
$6;$-62.5 	90.0 -62.5 30 5 75
$3;30$-42.5 	52.5 -42.5 45 5 179
$1;$-42.5 	15.0 -42.5 30 5 119
$6;30$-45 	97.5 -45.0 15 10 111
Total 2540
