SPT
Name R.A.(◦) Decl.(◦) ∆R.A.(◦) ∆Decl.(◦) Effective_Area(deg2)
ra5h30dec-55 82.7 -55.0 15 10 84
ra23h30dec-55 352.5 -55.0 15 10 83
ra21hdec-60 315.0 -60.0 30 10 155
ra3h30dec-60 52.5 -60.0 45 10 227
ra21hdec-50 315.0 -50.0 30 10 192
ra4h10dec-50 62.5 -50.0 25 10 156
ra0h50dec-50 12.5 -50.0 25 10 157
ra2h30dec-50 37.5 -50.0 25 10 157
ra1hdec-60 15.0 -60.0 30 10 152
ra5h30dec-45 82.5 -45.0 15 10 109
ra6h30dec-55 97.5 -55.0 15 10 85
ra23hdec-62.5 345.0 -62.5 30 5 75
ra21hdec-42.5 315.0 -42.5 30 5 121
ra22h30dec-55 337.5 -55.0 15 10 84
ra23hdec-45 345.0 -45.0 30 10 217
ra6hdec-62.5 90.0 -62.5 30 5 75
ra3h30dec-42.5 52.5 -42.5 45 5 179
ra1hdec-42.5 15.0 -42.5 30 5 119
ra6h30dec-45 97.5 -45.0 15 10 111
Total 2540
